Country Name,CCA3,Year,Population,Country Name_wb,Country Code,Region,IncomeGroup,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
Cayman Islands,CYM,1972,10136.0,Cayman Islands,CYM,Latin America & Caribbean,High income: nonOECD,,,,,,,,,42.2208,
Cyprus,CYP,1972,628002.0,Cyprus,CYP,Europe & Central Asia,High income: nonOECD,18.726,8.031,1133.76,,,,,73.067,67.9652,
Czech Republic,CZE,1972,9867632.0,Czech Republic,CZE,Europe & Central Asia,High income: OECD,16.6,12.1,3595.8,,,,,70.1766,127.703,
Germany,DEU,1972,78688452.0,Germany,DEU,Europe & Central Asia,High income: OECD,11.5,12.3,4335.77,299000000000.0,3795.57,,20.6,70.867,225.384,
Djibouti,DJI,1972,179224.0,Djibouti,DJI,Middle East & North Africa,Lower middle income,44.756,14.225,,,,,,50.442,7.73184,
Dominica,DMA,1972,71734.0,Dominica,DMA,Latin America & Caribbean,Upper middle income,37.0,,,,,,33.3,,95.6413,
Denmark,DNK,1972,4991596.0,Denmark,DNK,Europe & Central Asia,High income: OECD,15.1,10.1,3346.83,23232400000.0,4654.3,,12.5,73.439,117.81,
Dominican Republic,DOM,1972,4759934.0,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,39.862,9.918,308.698,1987400000.0,417.92,,82.6,59.229,98.4363,
Algeria,DZA,1972,15377093.0,Algeria,DZA,Middle East & North Africa,Upper middle income,46.766,15.996,142.876,6761790000.0,442.352,,140.2,51.201,6.41799,
Ecuador,ECU,1972,6428711.0,Ecuador,ECU,Latin America & Caribbean,Upper middle income,39.78,11.156,149.47,3185990000.0,495.536,,91.1,59.232,23.2242,
"Egypt, Arab Rep.",EGY,1972,36673642.0,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,40.76,15.397,200.539,9299640000.0,257.589,,157.6,52.894,36.2677,
Eritrea,ERI,1972,1912302.0,Eritrea,ERI,Sub-Saharan Africa,Low income,46.174,20.014,,,,,,43.934,13.7109,
Spain,ESP,1972,34604469.0,Spain,ESP,Europe & Central Asia,High income: OECD,19.4,8.1,1703.51,58971800000.0,1704.17,,,72.818,69.2394,
Estonia,EST,1972,1392518.0,Estonia,EST,Europe & Central Asia,High income: OECD,15.6,11.1,,,,,,69.8328,32.8502,
Ethiopia,ETH,1972,30132580.0,Ethiopia,ETH,Sub-Saharan Africa,Low income,48.381,20.979,18.7122,,,,143.9,43.465,30.1408,
Finland,FIN,1972,4639657.0,Finland,FIN,Europe & Central Asia,High income: OECD,12.7,9.5,5516.14,14754100000.0,3180.01,,12.0,70.7073,15.2325,
Fiji,FJI,1972,542814.0,Fiji,FJI,East Asia & Pacific,Upper middle income,33.188,7.048,,316651000.0,583.318,,43.8,62.555,29.7123,
France,FRA,1972,52959228.0,France,FRA,Europe & Central Asia,High income: OECD,16.3,10.7,2929.64,203000000000.0,3854.56,,13.7,72.1073,96.4142,
Faroe Islands,FRO,1972,40009.0,Faroe Islands,FRO,Europe & Central Asia,High income: nonOECD,20.5,6.9,,,,,,,28.5996,
Gabon,GAB,1972,613123.0,Gabon,GAB,Sub-Saharan Africa,Upper middle income,37.099,19.512,214.156,430508000.0,703.785,,,48.793,2.37398,
United Kingdom,GBR,1972,56086065.0,United Kingdom,GBR,Europe & Central Asia,High income: OECD,14.9,12.0,4372.64,170000000000.0,3030.43,,17.2,72.1244,231.828,
Georgia,GEO,1972,4205300.0,Georgia,GEO,Europe & Central Asia,Lower middle income,19.101,9.176,,,,,,68.082,73.5733,
Ghana,GHA,1972,9083573.0,Ghana,GHA,Sub-Saharan Africa,Lower middle income,45.399,15.508,341.4,2112290000.0,228.86,,118.1,49.912,40.5627,
Guinea,GIN,1972,4298091.0,Guinea,GIN,Sub-Saharan Africa,Low income,45.828,26.441,,,,,189.5,37.255,17.4611,
"Gambia, The",GMB,1972,474539.0,"Gambia, The",GMB,Sub-Saharan Africa,Low income,47.427,23.353,,59161500.0,120.143,,123.8,39.61,48.6587,
Guinea-Bissau,GNB,1972,741490.0,Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,43.281,22.883,,87702800.0,119.727,,,41.276,26.0499,
Equatorial Guinea,GNQ,1972,292585.0,Equatorial Guinea,GNQ,Sub-Saharan Africa,High income: nonOECD,41.833,26.172,,65429200.0,226.007,,,40.448,10.3209,
Greece,GRC,1972,8888628.0,Greece,GRC,Europe & Central Asia,High income: OECD,15.9,8.6,1360.95,16885500000.0,1899.68,,24.9,71.535,68.9575,
Grenada,GRD,1972,93934.0,Grenada,GRD,Latin America & Caribbean,Upper middle income,28.384,8.203,,,,,,66.139,276.421,
Greenland,GRL,1972,48300.0,Greenland,GRL,Europe & Central Asia,High income: nonOECD,,,,106101000.0,2196.71,,,,0.141352,
Guatemala,GTM,1972,5941567.0,Guatemala,GTM,Latin America & Caribbean,Lower middle income,45.143,13.756,137.506,2101300000.0,353.661,,110.2,53.652,55.4458,
Guam,GUM,1972,87587.0,Guam,GUM,East Asia & Pacific,High income: nonOECD,31.419,5.4,,,,,,66.473,162.198,
Guyana,GUY,1972,721948.0,Guyana,GUY,Latin America & Caribbean,Lower middle income,34.936,8.639,,285381000.0,395.293,,55.0,61.938,3.67011,
"Hong Kong SAR, China",HKG,1972,4123600.0,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income: nonOECD,19.5,5.2,1311.96,5710110000.0,1384.74,,,71.4561,4042.75,
Honduras,HND,1972,2882113.0,Honduras,HND,Latin America & Caribbean,Lower middle income,47.021,14.052,126.99,802999950.0,278.615,,94.2,53.778,25.7585,
Croatia,HRV,1972,4457000.0,Croatia,HRV,Europe & Central Asia,High income: nonOECD,14.8,10.8,,,,,,68.7787,79.6023,
Haiti,HTI,1972,4876560.0,Haiti,HTI,Latin America & Caribbean,Low income,38.714,17.907,17.1582,372000000.0,76.9019,,153.8,47.019,175.52,
Hungary,HUN,1972,10398489.0,Hungary,HUN,Europe & Central Asia,High income: OECD,14.7,11.4,1827.77,,,,34.5,69.6646,115.577,
Indonesia,IDN,1972,121059513.0,Indonesia,IDN,East Asia & Pacific,Lower middle income,38.646,13.422,15.8986,10997600000.0,90.8762,,106.8,53.72,66.8024,
Isle of Man,IMN,1972,57154.0,Isle of Man,IMN,Europe & Central Asia,High income: nonOECD,15.0,18.8,,,,,,,100.291,
India,IND,1972,579411513.0,India,IND,South Asia,Lower middle income,38.521,16.28,100.305,71463200000.0,122.982,,138.9,49.061,195.442,
Ireland,IRL,1972,3036850.0,Ireland,IRL,Europe & Central Asia,High income: OECD,22.6,11.3,2021.17,6325630000.0,2082.96,,18.2,71.2322,44.0826,
"Iran, Islamic Rep.",IRN,1972,30074298.0,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,41.505,14.454,315.508,17153500000.0,570.351,,119.9,52.559,18.4651,
Iraq,IRQ,1972,10599845.0,Iraq,IRQ,Middle East & North Africa,Upper middle income,44.333,10.919,259.914,4113850000.0,388.111,,74.1,59.484,24.235,
Iceland,ISL,1972,209137.0,Iceland,ISL,Europe & Central Asia,High income: OECD,22.4,6.9,7650.49,840914000.0,4020.88,,11.8,74.4559,2.08615,
Israel,ISR,1972,3148000.0,Israel,ISR,Middle East & North Africa,High income: OECD,27.2,7.2,2497.14,8762500000.0,2783.51,,,71.078,145.471,
Italy,ITA,1972,54381345.0,Italy,ITA,Europe & Central Asia,High income: OECD,16.3,9.6,2295.49,145000000000.0,2662.33,,26.5,72.0754,184.901,
Jamaica,JAM,1972,1934828.0,Jamaica,JAM,Latin America & Caribbean,Upper middle income,32.975,7.507,966.875,1875050000.0,968.967,,41.6,68.491,178.68,
Jordan,JOR,1972,1881214.0,Jordan,JOR,Middle East & North Africa,Upper middle income,49.119,9.463,153.402,788575000.0,418.578,,59.9,61.545,21.3501,
Japan,JPN,1972,107188000.0,Japan,JPN,East Asia & Pacific,High income: OECD,19.2,6.4,3737.27,318000000000.0,2967.04,,11.9,73.5066,292.384,
Kazakhstan,KAZ,1972,13176584.0,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,25.591,9.152,,,,,66.7,62.8259,4.98722,
Kenya,KEN,1972,12083188.0,Kenya,KEN,Sub-Saharan Africa,Lower middle income,50.958,14.352,82.0018,2107280000.0,173.495,,89.3,53.674,21.3411,
Kyrgyz Republic,KGZ,1972,3088200.0,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,31.901,10.846,,,,,,60.8354,16.1011,
Cambodia,KHM,1972,7300152.0,Cambodia,KHM,East Asia & Pacific,Low income,41.928,26.319,,505549000.0,69.2333,,,36.676,41.367,
Kiribati,KIR,1972,52824.0,Kiribati,KIR,East Asia & Pacific,Lower middle income,33.032,13.403,,18936500.0,358.782,,91.8,53.218,65.1605,
St. Kitts and Nevis,KNA,1972,44326.0,St. Kitts and Nevis,KNA,Latin America & Caribbean,High income: nonOECD,,,,22944800.0,517.709,,56.2,,126.629,
"Korea, Rep.",KOR,1972,33505406.0,"Korea, Rep.",KOR,East Asia & Pacific,High income: OECD,28.4,6.3,343.586,10842200000.0,323.596,,41.8,63.0098,347.35,
Kuwait,KWT,1972,854604.0,Kuwait,KWT,Middle East & North Africa,High income: nonOECD,47.024,5.763,3543.78,4451200000.0,5224.93,,47.5,66.602,47.8067,
Lebanon,LBN,1972,2416735.0,Lebanon,LBN,Middle East & North Africa,Upper middle income,31.567,7.766,574.894,,,,46.1,66.565,236.348,
Liberia,LBR,1972,1493711.0,Liberia,LBR,Sub-Saharan Africa,Low income,48.671,23.79,,,,,184.9,40.65,15.309,
Libya,LBY,1972,2327490.0,Libya,LBY,Middle East & North Africa,Upper middle income,49.747,11.674,191.193,,,,85.2,57.995,1.32278,
St. Lucia,LCA,1972,106455.0,St. Lucia,LCA,Latin America & Caribbean,Upper middle income,37.651,8.516,,,,,48.0,64.578,174.279,
Liechtenstein,LIE,1972,22151.0,Liechtenstein,LIE,Europe & Central Asia,High income: nonOECD,16.2,6.7,,124942000.0,5640.46,,,,138.444,
Sri Lanka,LKA,1972,13002275.0,Sri Lanka,LKA,South Asia,Lower middle income,29.316,7.375,64.2197,2553940000.0,196.423,,52.6,64.934,207.339,
Lesotho,LSO,1972,1076340.0,Lesotho,LSO,Sub-Saharan Africa,Lower middle income,44.361,16.073,,80915800.0,75.1241,,128.0,51.565,35.4774,
Lithuania,LTU,1972,3213622.0,Lithuania,LTU,Europe & Central Asia,High income: nonOECD,17.0,9.1,,,,,16.3,71.0246,51.2703,
Luxembourg,LUX,1972,346600.0,Luxembourg,LUX,Europe & Central Asia,High income: OECD,11.8,11.9,11661.9,1968730000.0,5680.13,,17.0,70.2053,,
Latvia,LVA,1972,2395674.0,Latvia,LVA,Europe & Central Asia,High income: nonOECD,14.6,11.4,,,,,,69.8788,38.5181,
"Macao SAR, China",MAC,1972,248767.0,"Macao SAR, China",MAC,East Asia & Pacific,High income: nonOECD,10.338,5.414,,,,,,70.384,12438.4,
St. Martin (French part),MAF,1972,5756.0,St. Martin (French part),MAF,Latin America & Caribbean,High income: nonOECD,,,,,,,,,113.162,
Morocco,MAR,1972,16695003.0,Morocco,MAR,Middle East & North Africa,Lower middle income,41.267,13.806,138.888,5074120000.0,302.564,,116.2,53.305,37.4085,
Monaco,MCO,1972,24051.0,Monaco,MCO,Europe & Central Asia,High income: nonOECD,,,,402460000.0,16733.6,,,,12025.5,
Moldova,MDA,1972,3131000.0,Moldova,MDA,Europe & Central Asia,Lower middle income,19.557,9.555,,,,,48.5,65.186,109.067,
Madagascar,MDG,1972,6946620.0,Madagascar,MDG,Sub-Saharan Africa,Low income,47.988,19.873,,1341590000.0,193.129,,94.9,45.735,11.9452,
Maldives,MDV,1972,123441.0,Maldives,MDV,South Asia,Upper middle income,48.474,19.533,,,,,157.5,45.7,411.18,
Mexico,MEX,1972,55478151.0,Mexico,MEX,Latin America & Caribbean,Upper middle income,41.903,9.227,551.235,45200000000.0,826.477,,72.1,62.327,28.1334,
Marshall Islands,MHL,1972,22341.0,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,,,,,,,55.5,,,
"Macedonia, FYR",MKD,1972,1754956.0,North Macedonia,MKD,Europe & Central Asia,Upper middle income,23.827,7.146,,,,,,67.128,69.0112,
Mali,MLI,1972,6147458.0,Mali,MLI,Sub-Saharan Africa,Low income,50.361,30.531,,486617000.0,79.1575,,176.8,33.782,5.03812,
Malta,MLT,1972,302450.0,Malta,MLT,Middle East & North Africa,High income: nonOECD,17.8,9.6,1071.25,295118000.0,975.759,,22.4,71.7312,945.156,
Myanmar,MMR,1972,27680144.0,Myanmar,MMR,East Asia & Pacific,Lower middle income,39.061,15.837,21.176,,,,114.4,49.686,43.7159,
Montenegro,MNE,1972,521785.0,Montenegro,MNE,Europe & Central Asia,Upper middle income,20.653,7.072,,,,,,70.968,38.7944,
Mongolia,MNG,1972,1356670.0,Mongolia,MNG,East Asia & Pacific,Upper middle income,43.15,14.188,,,,,,56.192,0.873265,
Northern Mariana Islands,MNP,1972,14040.0,Northern Mariana Islands,MNP,East Asia & Pacific,High income: nonOECD,,,,,,,,,,
Mozambique,MOZ,1972,9595762.0,Mozambique,MOZ,Sub-Saharan Africa,Low income,47.126,22.849,50.708,,,,180.5,41.836,12.0123,
Mauritania,MRT,1972,1217941.0,Mauritania,MRT,Sub-Saharan Africa,Lower middle income,45.746,15.062,,265009000.0,217.677,,103.2,51.16,1.18118,
Mauritius,MUS,1972,852053.0,Mauritius,MUS,Sub-Saharan Africa,Upper middle income,25.3,7.9,160.788,,,,58.8,63.44,419.731,
Malawi,MWI,1972,4859610.0,Malawi,MWI,Sub-Saharan Africa,Low income,51.993,24.576,,406063000.0,81.8915,,196.7,40.762,52.5939,
Malaysia,MYS,1972,11324251.0,Malaysia,MYS,East Asia & Pacific,Upper middle income,32.871,6.838,347.307,5043270000.0,445.35,,39.0,65.407,34.4674,
Namibia,NAM,1972,829441.0,Namibia,NAM,Sub-Saharan Africa,Upper middle income,43.635,13.876,,,,,64.1,53.714,1.05547,
New Caledonia,NCL,1972,125500.0,New Caledonia,NCL,East Asia & Pacific,High income: nonOECD,34.6,7.8,,505893000.0,4031.02,,,63.9268,6.86543,
Niger,NER,1972,4768078.0,Niger,NER,Sub-Saharan Africa,Low income,56.55,28.147,,742780000.0,155.777,,135.1,36.203,3.76429,
Nigeria,NGA,1972,58662603.0,Nigeria,NGA,Sub-Saharan Africa,Lower middle income,46.77,22.163,32.7278,12274400000.0,209.226,,159.0,41.829,64.4134,
Nicaragua,NIC,1972,2549774.0,Nicaragua,NIC,Latin America & Caribbean,Lower middle income,46.109,12.72,243.874,880843000.0,344.254,,112.8,54.744,21.2622,
Netherlands,NLD,1972,13328593.0,Netherlands,NLD,Europe & Central Asia,High income: OECD,16.1,8.5,3414.69,54706600000.0,4104.45,,11.7,73.7271,394.804,
Norway,NOR,1972,3933004.0,Norway,NOR,Europe & Central Asia,High income: OECD,16.3,10.0,14488.4,17358600000.0,4413.58,,12.1,74.3446,10.7682,
Nepal,NPL,1972,12499429.0,Nepal,NPL,South Asia,Low income,42.478,21.431,7.54978,1024100000.0,81.3866,,169.3,42.024,87.994,
New Zealand,NZL,1972,2903900.0,New Zealand,NZL,East Asia & Pacific,High income: OECD,21.8,8.5,5306.66,9567330000.0,3294.65,,16.2,71.8293,11.0284,
Oman,OMN,1972,776383.0,Oman,OMN,Middle East & North Africa,High income: nonOECD,48.202,15.202,29.6247,366858000.0,472.523,,136.9,51.92,2.5085,
Pakistan,PAK,1972,61338261.0,Pakistan,PAK,South Asia,Lower middle income,42.767,14.582,90.9713,9309110000.0,151.659,,137.6,53.699,79.6259,
Panama,PAN,1972,1607834.0,Panama,PAN,Latin America & Caribbean,Upper middle income,36.415,7.069,570.968,1673411700.0,1040.81,,45.9,66.515,21.6276,
Peru,PER,1972,14072476.0,Peru,PER,Latin America & Caribbean,Upper middle income,41.008,12.661,408.593,9189410000.0,646.142,,99.0,55.671,11.1109,
Philippines,PHL,1972,37925400.0,Philippines,PHL,East Asia & Pacific,Lower middle income,38.48,7.898,260.472,8017470000.0,211.412,,54.6,63.202,127.149,
Palau,PLW,1972,11852.0,Palau,PLW,East Asia & Pacific,Upper middle income,,,,,,,,,,
Papua New Guinea,PNG,1972,2659851.0,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,41.102,16.763,,858802000.0,294.298,,94.0,47.383,6.4438,
Poland,POL,1972,33055650.0,Poland,POL,Europe & Central Asia,High income: OECD,17.5,8.0,2111.74,,,,28.7,70.6659,107.923,
Puerto Rico,PRI,1972,2817256.0,Puerto Rico,PRI,Latin America & Caribbean,High income: nonOECD,24.0,6.6,,6328900000.0,2246.48,,,72.1695,317.616,
"Korea, Dem. People’s Rep.",PRK,1972,15207771.0,North Korea,PRK,East Asia & Pacific,Low income,33.437,8.547,936.495,,,,,61.379,126.3,
Portugal,PRT,1972,8630430.0,Portugal,PRT,Europe & Central Asia,High income: OECD,20.2,10.5,911.542,11240200000.0,1302.39,,47.4,68.3244,94.3216,
Paraguay,PRY,1972,2596739.0,Paraguay,PRY,Latin America & Caribbean,Upper middle income,36.157,7.202,88.9435,769040000.0,296.109,,57.0,65.653,6.53701,
French Polynesia,PYF,1972,118279.0,French Polynesia,PYF,East Asia & Pacific,High income: nonOECD,34.296,8.257,,325843000.0,2751.13,,,60.836,32.3607,
Qatar,QAT,1972,130534.0,Qatar,QAT,Middle East & North Africa,High income: nonOECD,35.093,4.727,3034.48,510260000.0,3910.04,,44.6,69.245,11.2403,
Romania,ROU,1972,20657957.0,Romania,ROU,Europe & Central Asia,Upper middle income,18.8,9.2,1786.72,,,,39.0,68.4702,89.6846,
Russian Federation,RUS,1972,131909000.0,Russian Federation,RUS,Europe & Central Asia,High income: nonOECD,14.962,9.258,,,,,28.8,68.3085,8.04816,
Rwanda,RWA,1972,3983700.0,Rwanda,RWA,Sub-Saharan Africa,Low income,50.719,20.14,,246458000.0,61.8119,,135.5,44.848,161.622,
Saudi Arabia,SAU,1972,6393894.0,Saudi Arabia,SAU,Middle East & North Africa,High income: nonOECD,46.402,13.574,358.05,9664160000.0,1511.69,,109.4,54.872,2.9739,
Sudan,SDN,1972,10974622.0,Sudan,SDN,Sub-Saharan Africa,Lower middle income,47.097,14.28,27.4052,2882000000.0,196.911,,94.5,52.901,,
Senegal,SEN,1972,4525114.0,Senegal,SEN,Sub-Saharan Africa,Lower middle income,49.656,23.478,74.7309,1620860000.0,358.367,,121.3,40.562,23.4919,
Singapore,SGP,1972,2152400.0,Singapore,SGP,East Asia & Pacific,High income: nonOECD,23.1,5.4,1371.03,2721440000.0,1264.38,,19.4,69.0429,3212.54,
Solomon Islands,SLB,1972,172598.0,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,47.124,11.01,,40606700.0,235.33,,65.7,57.774,6.16477,
Sierra Leone,SLE,1972,2803031.0,Sierra Leone,SLE,Sub-Saharan Africa,Low income,47.644,27.636,,465381000.0,163.013,,184.9,37.092,39.5521,
El Salvador,SLV,1972,3861931.0,El Salvador,SLV,Latin America & Caribbean,Lower middle income,42.039,12.66,181.522,1263719999.0,326.77,,99.5,55.586,185.482,
San Marino,SMR,1972,19398.0,San Marino,SMR,Europe & Central Asia,High income: nonOECD,,,,,,,,,324.9,
Somalia,SOM,1972,3475022.0,Somalia,SOM,Sub-Saharan Africa,Low income,46.086,22.397,,416942000.0,119.818,,,41.727,5.5469,
South Sudan,SSD,1972,3824762.0,South Sudan,SSD,Sub-Saharan Africa,Low income,50.057,27.301,,,,,,36.575,,
Sao Tome and Principe,STP,1972,77537.0,Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,41.007,12.491,,,,,57.0,56.472,81.1813,
Suriname,SUR,1972,371324.0,Suriname,SUR,Latin America & Caribbean,Upper middle income,35.304,8.546,,311950000.0,847.904,,,63.47,2.35838,
Slovak Republic,SVK,1972,4596622.0,Slovak Republic,SVK,Europe & Central Asia,High income: OECD,19.1,9.0,2829.47,,,,,70.0989,95.5639,
Slovenia,SVN,1972,1752233.0,Slovenia,SVN,Europe & Central Asia,High income: OECD,16.4,10.4,,,,,,69.0585,87.0026,
Sweden,SWE,1972,8122300.0,Sweden,SWE,Europe & Central Asia,High income: OECD,13.8,10.3,8131.93,48317900000.0,5948.8,,10.4,74.718,19.7941,
Swaziland,SWZ,1972,472230.0,Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,50.419,16.529,,146741000.0,321.069,,111.8,49.479,26.572,
Seychelles,SYC,1972,56029.0,Seychelles,SYC,Sub-Saharan Africa,High income: nonOECD,30.8,9.4,,30645100.0,546.951,,49.8,,121.802,
Syrian Arab Republic,SYR,1972,6800141.0,Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,46.231,10.017,201.613,3059680000.0,449.944,,67.4,60.378,37.0015,
Turks and Caicos Islands,TCA,1972,5922.0,Turks and Caicos Islands,TCA,Latin America & Caribbean,High income: nonOECD,,,,,,,,,6.48105,
Chad,TCD,1972,3815103.0,Chad,TCD,Sub-Saharan Africa,Low income,47.785,22.734,,585428000.0,153.444,,128.1,42.264,3.02798,
Togo,TGO,1972,2247582.0,Togo,TGO,Sub-Saharan Africa,Low income,48.275,17.975,61.3993,335678000.0,149.351,,126.7,47.777,41.3234,
Thailand,THA,1972,39061994.0,Thailand,THA,East Asia & Pacific,Upper middle income,35.448,9.39,140.251,8177880000.0,209.375,,65.3,60.404,76.4521,
Tajikistan,TJK,1972,3111264.0,Tajikistan,TJK,Europe & Central Asia,Lower middle income,41.488,14.269,,,,,117.7,54.852,22.2298,
Turkmenistan,TKM,1972,2324013.0,Turkmenistan,TKM,Europe & Central Asia,Upper middle income,37.175,11.328,,,,,,59.028,4.94545,
Timor-Leste,TLS,1972,638499.0,Timor-Leste,TLS,East Asia & Pacific,Lower middle income,41.684,23.263,,,,,,39.085,40.3626,
Tonga,TON,1972,86347.0,Tonga,TON,East Asia & Pacific,Upper middle income,33.941,6.659,,,,,34.9,64.696,119.893,
Trinidad and Tobago,TTO,1972,968741.0,Trinidad and Tobago,TTO,Latin America & Caribbean,High income: nonOECD,26.626,7.528,1146.53,1083380000.0,1119.04,,42.2,65.003,188.72,
Tunisia,TUN,1972,5287543.0,Tunisia,TUN,Middle East & North Africa,Upper middle income,39.699,13.838,175.003,2237480000.0,422.856,,110.2,53.452,34.0586,
Turkey,TUR,1972,36587225.0,Turkey,TUR,Europe & Central Asia,Upper middle income,39.233,14.246,276.408,20431100000.0,558.421,,120.1,53.492,47.5388,
Tuvalu,TUV,1972,7458.0,Tuvalu,TUV,East Asia & Pacific,Upper middle income,,,,,,,,,193.0,
Tanzania,TZA,1972,14506617.0,Tanzania,TZA,Sub-Saharan Africa,Low income,47.866,17.562,32.1589,,,,123.5,47.609,16.2885,
Uganda,UGA,1972,9988380.0,Uganda,UGA,Sub-Saharan Africa,Low income,48.416,16.454,,1491600000.0,150.217,,114.3,49.558,49.6954,
Ukraine,UKR,1972,47783011.0,Ukraine,UKR,Europe & Central Asia,Lower middle income,15.273,9.251,,,,,27.3,70.0909,82.4769,
Uruguay,URY,1972,2821439.0,Uruguay,URY,Latin America & Caribbean,High income: nonOECD,20.968,9.984,695.739,2189420000.0,775.987,,47.6,68.732,16.1208,
United States,USA,1972,209896000.0,United States,USA,North America,High income: OECD,15.6,9.4,8076.41,1280000000000.0,6094.02,,18.3,71.1561,22.917,
Uzbekistan,UZB,1972,12828625.0,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,36.354,10.084,,,,,,62.903,30.0822,
St. Vincent and the Grenadines,VCT,1972,92463.0,St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,38.57,9.068,,27585500.0,298.18,,53.3,64.365,237.213,
"Venezuela, RB",VEN,1972,12286439.0,"Venezuela, RB",VEN,Latin America & Caribbean,High income: nonOECD,35.92,6.363,1109.47,13977700000.0,1155.4,,45.4,65.896,13.7154,
Virgin Islands (U.S.),VIR,1972,76319.0,Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income: nonOECD,30.4556,6.22222,,,,,,69.6466,218.054,
Vietnam,VNM,1972,45549483.0,Vietnam,VNM,East Asia & Pacific,Lower middle income,35.592,11.867,37.6741,,,,53.1,58.826,139.938,
Vanuatu,VUT,1972,90823.0,Vanuatu,VUT,East Asia & Pacific,Lower middle income,41.144,11.408,,,,,71.9,55.51,7.44947,
Samoa,WSM,1972,147321.0,Samoa,WSM,East Asia & Pacific,Lower middle income,40.003,8.393,,,,,,60.599,52.0481,
"Yemen, Rep.",YEM,1972,6407295.0,"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,56.151,27.39,33.6433,,,,203.4,38.981,12.104,
South Africa,ZAF,1972,24148137.0,South Africa,ZAF,Sub-Saharan Africa,Upper middle income,37.956,13.522,2389.24,21357400000.0,917.356,,,53.713,19.1919,
Zambia,ZMB,1972,4469895.0,Zambia,ZMB,Sub-Saharan Africa,Lower middle income,49.469,15.305,1071.39,1910710000.0,427.819,,103.2,50.961,6.00785,
Zimbabwe,ZWE,1972,5535874.0,Zimbabwe,ZWE,Sub-Saharan Africa,Low income,47.547,11.265,824.123,2677730000.0,471.937,,71.8,57.329,14.667,
Aruba,ABW,1973,60243.0,Aruba,ABW,Latin America & Caribbean,High income: nonOECD,22.76,5.812,,,,,,70.191,334.683,
Afghanistan,AFG,1973,12027822.0,Afghanistan,AFG,South Asia,Low income,51.184,25.222,,1733330000.0,143.145,,191.0,39.003,18.5476,
Angola,AGO,1973,7277960.0,Angola,AGO,Sub-Saharan Africa,Upper middle income,51.094,22.296,113.592,,,,,42.016,5.21133,
Albania,ALB,1973,2296752.0,Albania,ALB,Europe & Central Asia,Upper middle income,30.019,7.382,593.447,,,,,67.953,83.8231,
Andorra,AND,1973,28232.0,Andorra,AND,Europe & Central Asia,High income: nonOECD,,,,150820000.0,5342.17,,,,60.0681,
United Arab Emirates,ARE,1973,397174.0,United Arab Emirates,ARE,Middle East & North Africa,High income: nonOECD,32.804,5.828,1700.35,,,,54.5,63.759,5.55652,
Argentina,ARG,1973,25213388.0,Argentina,ARG,Latin America & Caribbean,High income: nonOECD,24.098,8.924,962.266,52544000000.0,2097.02,,56.3,67.383,9.15576,
Armenia,ARM,1973,2712781.0,Armenia,ARM,Europe & Central Asia,Lower middle income,22.283,5.988,,,,,,70.723,95.2858,
American Samoa,ASM,1973,29014.0,American Samoa,ASM,East Asia & Pacific,Upper middle income,,,,,,,,,145.5,
Antigua and Barbuda,ATG,1973,70066.0,Antigua and Barbuda,ATG,Latin America & Caribbean,High income: nonOECD,23.664,7.091,,,,,,66.498,144.659,
Australia,AUS,1973,13380000.0,Australia,AUS,East Asia & Pacific,High income: OECD,18.5,8.3,4230.34,63738600000.0,4763.72,,16.1,71.8468,1.74167,
Austria,AUT,1973,7586115.0,Austria,AUT,Europe & Central Asia,High income: OECD,12.9,12.2,3620.56,29515500000.0,3890.72,,23.0,71.0146,91.8638,
Azerbaijan,AZE,1973,5483084.0,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,28.443,8.827,,,,,,63.582,65.889,
Burundi,BDI,1973,3578490.0,Burundi,BDI,Sub-Saharan Africa,Low income,48.072,20.368,,304340000.0,84.4186,,148.3,44.528,140.387,
Belgium,BEL,1973,9741720.0,Belgium,BEL,Europe & Central Asia,High income: OECD,13.3,12.1,3941.6,47999400000.0,4927.2,,17.7,71.6354,,
