Country,Year,Population,Next Population,Growth Rate,Country Code,Region,IncomeGroup,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
French Polynesia,2010,283788,291787.0,0.028186533609595894,PYF,East Asia & Pacific,High income: nonOECD,16.801,5.011,,,,49.0,,75.611,72.8019,13.097
French Polynesia,2015,291787,,,PYF,East Asia & Pacific,High income: nonOECD,15.473,5.418,,,,64.5602,,76.787,74.624,12.69
Gabon,1970,597192,749078.0,0.25433361464989485,GAB,Sub-Saharan Africa,Upper middle income,36.826,20.692,,323802000.0,549.457,,,47.125,2.28709,
Gabon,1980,749078,983028.0,0.3123172753705222,GAB,Sub-Saharan Africa,Upper middle income,38.258,15.032,724.191,4279640000.0,5892.16,,74.2,55.252,2.81883,
Gabon,1990,983028,1272935.0,0.29491225071920635,GAB,Sub-Saharan Africa,Upper middle income,37.481,11.111,919.443,5952290000.0,6268.95,0.0,60.2,60.965,3.6849,
Gabon,2000,1272935,1711105.0,0.3442202469097008,GAB,Sub-Saharan Africa,Upper middle income,33.377,11.624,880.035,5067870000.0,4125.72,1.21614,54.4,58.264,4.76718,17.623
Gabon,2010,1711105,2028517.0,0.18550118198474086,GAB,Sub-Saharan Africa,Upper middle income,33.206,9.323,957.43,14358600000.0,8840.73,13.0,42.2,61.4,6.30318,20.39
Gabon,2015,2028517,,,GAB,Sub-Saharan Africa,Upper middle income,32.927,7.449,,14377300000.0,7381.75,45.7845,36.3,64.913,7.55884,19.986
Georgia,1970,4800426,5145843.0,0.07195548895035565,GEO,Europe & Central Asia,Lower middle income,19.874,9.449,,,,,,67.452,72.0791,
Georgia,1980,5145843,5391636.0,0.047765351566303134,GEO,Europe & Central Asia,Lower middle income,18.588,8.999,,,,,49.7,69.7,78.164,
Georgia,1990,5391636,4265172.0,-0.20892805078087615,GEO,Europe & Central Asia,Lower middle income,17.261,9.352,3039.15,7753500000.0,1614.64,0.0,41.0,70.386,84.0127,
Georgia,2000,4265172,3836831.0,-0.1004276029196478,GEO,Europe & Central Asia,Lower middle income,12.063,11.68,1574.39,3057420000.0,749.896,0.484746,32.1,69.902,71.3309,10.82
Georgia,2010,3836831,3771132.0,-0.017123245720231096,GEO,Europe & Central Asia,Lower middle income,13.861,13.088,2049.54,11638500000.0,3073.52,26.9,12.7,71.46,66.2496,17.41
Georgia,2015,3771132,,,GEO,Europe & Central Asia,Lower middle income,14.078,13.062,,13993600000.0,3756.38,47.5698,9.4,72.973,65.1751,14.08
Germany,1970,78294583,77786703.0,-0.006486783383213114,DEU,Europe & Central Asia,High income: OECD,13.4,12.5,3834.18,215000000000.0,2750.72,,22.1,70.6398,223.897,
Germany,1980,77786703,79370196.0,0.02035685970647194,DEU,Europe & Central Asia,High income: OECD,11.1,12.2,5797.5,947000000000.0,12092.4,,12.6,72.6779,224.239,
Germany,1990,79370196,81551677.0,0.027484888660222032,DEU,Europe & Central Asia,High income: OECD,11.4,11.6,6639.73,1760000000000.0,22219.6,0.125892,7.0,75.2278,227.517,
Germany,2000,81551677,81325090.0,-0.0027784468491064873,DEU,Europe & Central Asia,High income: OECD,9.3,10.2,6635.42,1950000000000.0,23718.7,30.2163,4.4,77.9268,235.597,7.917
Germany,2010,81325090,82073226.0,0.009199325816915788,DEU,Europe & Central Asia,High income: OECD,8.3,10.5,7264.32,3420000000000.0,41785.6,82.0,3.5,79.9878,234.607,6.966
Germany,2015,82073226,,,DEU,Europe & Central Asia,High income: OECD,9.0,11.3,,3380000000000.0,41394.7,87.5898,3.2,80.6415,234.154,4.624
Ghana,1970,8861895,11865246.0,0.33890618202991574,GHA,Sub-Saharan Africa,Lower middle income,46.231,15.992,,2215030000.0,253.567,,120.1,49.34,38.391,
Ghana,1980,11865246,15446982.0,0.3018678247378942,GHA,Sub-Saharan Africa,Lower middle income,42.761,13.691,416.15,4445230000.0,402.061,,101.1,52.277,48.5898,
Ghana,1990,15446982,19665502.0,0.27309671235455574,GHA,Sub-Saharan Africa,Lower middle income,40.038,10.933,323.557,5889170000.0,398.637,0.0,79.8,56.776,64.9261,
Ghana,2000,19665502,25574719.0,0.30048645592672896,GHA,Sub-Saharan Africa,Lower middle income,35.671,10.402,326.16,4983020000.0,258.471,0.153615,64.2,57.002,84.7273,10.36
Ghana,2010,25574719,28870939.0,0.12888587358476938,GHA,Sub-Saharan Africa,Lower middle income,32.385,8.359,277.486,32174800000.0,1298.44,7.8,47.5,61.03,108.902,5.32
Ghana,2015,28870939,,,GHA,Sub-Saharan Africa,Lower middle income,30.714,7.663,,49181900000.0,1766.01,25.0,38.9,62.772,122.393,6.806
Greece,1970,8544873,9307148.0,0.08920846453774094,GRC,Europe & Central Asia,High income: OECD,16.5,8.4,1023.79,13139900000.0,1494.39,,27.3,70.9036,68.2142,
Greece,1980,9307148,10302255.0,0.10691857484161636,GRC,Europe & Central Asia,High income: OECD,15.4,9.1,2247.45,56829700000.0,5893.66,,17.3,73.6471,74.8061,
Greece,1990,10302255,11038109.0,0.07142649837341436,GRC,Europe & Central Asia,High income: OECD,10.0,9.2,3221.41,97891100000.0,9600.19,0.0,9.2,76.939,79.1062,
Greece,2000,11038109,11033783.0,-0.0003919149557229413,GRC,Europe & Central Asia,High income: OECD,9.6,9.7,4586.33,130000000000.0,12043.0,9.13884,5.5,77.8878,83.8309,11.248
Greece,2010,11033783,10806641.0,-0.02058604922717802,GRC,Europe & Central Asia,High income: OECD,10.3,9.8,5333.44,299000000000.0,26917.8,44.4,3.3,80.3878,86.2788,12.713
Greece,2015,10806641,,,GRC,Europe & Central Asia,High income: OECD,8.5,11.2,,197000000000.0,18167.8,66.835,3.8,81.0366,83.9479,24.897
Grenada,1970,98794,94838.0,-0.040042917586088224,GRD,Latin America & Caribbean,Upper middle income,28.061,8.311,,,,0.0,,65.619,277.868,
Grenada,1980,94838,99047.0,0.0443809443472026,GRD,Latin America & Caribbean,Upper middle income,31.304,8.274,,110900000.0,1245.62,0.0,,67.879,261.859,
Grenada,1990,99047,107432.0,0.0846567791048694,GRD,Latin America & Caribbean,Upper middle income,28.31,7.968,,278099000.0,2886.91,0.0,18.1,69.598,283.326,
Grenada,2000,107432,114039.0,0.0614993670414774,GRD,Latin America & Caribbean,Upper middle income,18.444,7.143,,520044000.0,5057.17,4.06391,13.3,72.648,302.45,
Grenada,2010,114039,118980.0,0.04332728277168337,GRD,Latin America & Caribbean,Upper middle income,17.501,8.585,,771013000.0,7257.76,27.0,12.6,72.867,312.45,
Grenada,2015,118980,,,GRD,Latin America & Caribbean,Upper middle income,17.074,9.487,,997008000.0,9096.87,53.81,13.5,72.445,322.35,
Guam,1970,88300,110286.0,0.2489920724801812,GUM,East Asia & Pacific,High income: nonOECD,31.779,5.679,,,,,,65.662,155.328,
Guam,1980,110286,138263.0,0.25367680394610376,GUM,East Asia & Pacific,High income: nonOECD,28.432,4.895,,,,,,69.262,192.839,
Guam,1990,138263,160188.0,0.15857460058005396,GUM,East Asia & Pacific,High income: nonOECD,25.615,4.709,,,,0.0,,71.925,241.633,
Guam,2000,160188,164905.0,0.029446650186031414,GUM,East Asia & Pacific,High income: nonOECD,21.936,4.544,,,,16.1131,,75.011,287.646,15.32
Guam,2010,164905,167978.0,0.018634971650344136,GUM,East Asia & Pacific,High income: nonOECD,17.784,4.864,,4895000000.0,30700.4,54.04,,77.941,295.267,8.2
Guam,2015,167978,,,GUM,East Asia & Pacific,High income: nonOECD,17.007,5.085,,5710000000.0,35278.9,73.14,,79.144,299.728,6.9
Guatemala,1970,5453208,6987767.0,0.2814048171278264,GTM,Latin America & Caribbean,Lower middle income,45.324,14.453,,1903999999.0,338.682,,116.4,52.501,52.4617,
Guatemala,1980,6987767,9084780.0,0.3000977279293943,GTM,Latin America & Caribbean,Lower middle income,43.824,11.507,251.803,7878700000.0,1081.73,,86.0,57.272,67.9681,
Guatemala,1990,9084780,11735894.0,0.29181928456165146,GTM,Latin America & Caribbean,Lower middle income,38.984,8.538,200.457,7650130000.0,825.807,0.0,59.3,62.261,86.4484,
Guatemala,2000,11735894,14543121.0,0.23920009843306356,GTM,Latin America & Caribbean,Lower middle income,35.341,6.235,330.451,19288800000.0,1655.59,0.712333,40.6,67.849,108.723,2.897
Guatemala,2010,14543121,16001107.0,0.1002526211533274,GTM,Latin America & Caribbean,Lower middle income,27.688,5.15,541.953,41338500000.0,2825.52,10.5,28.8,71.481,136.529,3.497
Guatemala,2015,16001107,,,GTM,Latin America & Caribbean,Lower middle income,25.627,4.829,,63767600000.0,3923.57,28.8059,24.3,73.25,151.665,2.506
Guinea,1970,4222374,4972609.0,0.17768084968314032,GIN,Sub-Saharan Africa,Low income,45.447,26.949,,,,,193.2,36.655,16.9079,
Guinea,1980,4972609,6354145.0,0.2778292039450518,GIN,Sub-Saharan Africa,Low income,48.107,23.444,,,,,168.5,41.3,19.8251,
Guinea,1990,6354145,8336967.0,0.3120517394551116,GIN,Sub-Saharan Africa,Low income,48.103,17.384,,2666620000.0,419.789,0.0,139.2,49.987,25.8517,
Guinea,2000,8336967,10270728.0,0.2319501804433195,GIN,Sub-Saharan Africa,Low income,44.21,15.443,,2995360000.0,363.482,0.0954249,100.9,51.203,33.5371,4.388
Guinea,2010,10270728,11625998.0,0.13195461899098096,GIN,Sub-Saharan Africa,Low income,39.713,11.002,,6853470000.0,672.424,1.0,74.2,56.861,41.4788,4.284
Guinea,2015,11625998,,,GIN,Sub-Saharan Africa,Low income,37.583,9.337,,8794200000.0,769.256,8.2,68.5,59.598,46.5249,4.211
Guinea-Bissau,1970,591663,831462.0,0.4052965962042582,GNB,Sub-Saharan Africa,Low income,42.578,23.222,,78733600.0,111.689,,,40.649,25.069,
Guinea-Bissau,1980,831462,973551.0,0.1708905518231741,GNB,Sub-Saharan Africa,Low income,48.73,21.524,,110654000.0,141.56,,,44.056,27.7979,
Guinea-Bissau,1990,973551,1230849.0,0.26428815747711215,GNB,Sub-Saharan Africa,Low income,46.71,18.572,,243962000.0,250.15,0.0,131.5,47.095,34.6821,
Guinea-Bissau,2000,1230849,1567220.0,0.2732837252985541,GNB,Sub-Saharan Africa,Low income,41.828,15.031,,370174000.0,308.144,0.230103,105.5,50.368,42.7205,4.676
Guinea-Bissau,2010,1567220,1788919.0,0.14146003751866362,GNB,Sub-Saharan Africa,Low income,39.089,11.741,,849050000.0,557.632,2.45,72.3,54.628,54.1465,4.379
Guinea-Bissau,2015,1788919,,,GNB,Sub-Saharan Africa,Low income,36.819,10.244,,1047810000.0,603.159,3.54071,59.5,56.959,61.7782,4.318
Guyana,1970,705261,778176.0,0.10338725663265089,GUY,Latin America & Caribbean,Lower middle income,36.051,8.774,,267800000.0,379.894,,55.3,61.789,3.58362,
Guyana,1980,778176,747116.0,-0.03991384982317625,GUY,Latin America & Caribbean,Lower middle income,31.0,8.415,,603200000.0,773.182,,52.9,62.498,3.96319,
Guyana,1990,747116,759051.0,0.01597476161666997,GUY,Latin America & Caribbean,Lower middle income,28.24,8.289,,396582000.0,533.536,0.0,46.5,63.287,3.77602,
Guyana,2000,759051,747932.0,-0.014648554576701698,GUY,Latin America & Caribbean,Lower middle income,25.704,7.638,,712668000.0,954.404,6.61149,37.1,65.242,3.79332,11.856
Guyana,2010,747932,755031.0,0.009491504575282245,GUY,Latin America & Caribbean,Lower middle income,21.176,7.143,,2273230000.0,3033.25,29.9,30.6,68.059,3.80714,11.657
Guyana,2015,755031,,,GUY,Latin America & Caribbean,Lower middle income,20.629,7.213,,3197230000.0,4166.13,34.0,27.4,69.262,3.89856,12.552
Haiti,1970,4680812,5646676.0,0.20634539477338548,HTI,Latin America & Caribbean,Low income,39.366,18.657,,331200000.0,70.8263,,160.4,46.027,169.675,
Haiti,1980,5646676,6925331.0,0.22644384058869324,HTI,Latin America & Caribbean,Low income,42.014,15.872,41.2888,1383800000.0,245.217,,127.8,51.009,204.76,
Haiti,1990,6925331,8360225.0,0.20719500627479034,HTI,Latin America & Caribbean,Low income,37.257,13.35,58.8242,3096290000.0,439.944,0.0,100.1,54.265,255.367,
Haiti,2000,8360225,9842880.0,0.1773463034786743,HTI,Latin America & Caribbean,Low income,31.777,11.279,35.7995,3953850000.0,467.148,0.231271,74.2,57.131,307.105,8.339
Haiti,2010,9842880,10563757.0,0.0732384220878442,HTI,Latin America & Caribbean,Low income,27.651,9.629,24.5243,6622540000.0,665.627,8.37,85.6,60.511,361.006,15.643
Haiti,2015,10563757,,,HTI,Latin America & Caribbean,Low income,25.581,8.893,,8724660000.0,815.728,12.1977,53.3,62.485,388.082,13.724
Honduras,1970,2782753,3777990.0,0.35764474964181153,HND,Latin America & Caribbean,Lower middle income,47.73,14.946,,723000000.0,266.136,,101.3,52.522,24.2797,
Honduras,1980,3777990,5053234.0,0.3375456261133566,HND,Latin America & Caribbean,Lower middle income,44.013,10.301,210.696,3968160000.0,1078.81,,68.7,59.632,32.8741,
Honduras,1990,5053234,6656725.0,0.3173197599794508,HND,Latin America & Caribbean,Lower middle income,38.484,6.684,367.889,4923010000.0,993.483,0.0,45.0,66.723,44.2873,
Honduras,2000,6656725,8450933.0,0.2695331412969591,HND,Latin America & Caribbean,Lower middle income,33.829,5.239,488.401,7103510000.0,1080.46,1.20386,30.3,70.689,58.7587,4.036
Honduras,2010,8450933,9294505.0,0.09981998437332304,HND,Latin America & Caribbean,Lower middle income,25.02,4.534,617.856,15729600000.0,1891.16,11.09,20.0,73.317,74.3361,4.119
Honduras,2015,9294505,,,HND,Latin America & Caribbean,Lower middle income,22.433,4.424,,20833900000.0,2286.2,27.1,16.7,74.495,81.4453,4.592
Hungary,1970,10315366,10698679.0,0.0371594182891814,HUN,Europe & Central Asia,High income: OECD,14.7,11.6,1588.62,,,,35.1,69.1646,114.891,
Hungary,1980,10698679,10375989.0,-0.0301616676227037,HUN,Europe & Central Asia,High income: OECD,13.9,13.6,2697.76,,,,21.6,69.0617,119.132,
Hungary,1990,10375989,10202055.0,-0.016763124941632068,HUN,Europe & Central Asia,High income: OECD,12.1,14.0,3426.55,,,0.0,15.2,69.3156,115.433,
Hungary,2000,10202055,9986825.0,-0.02109673002154958,HUN,Europe & Central Asia,High income: OECD,9.6,13.3,3309.28,47310600000.0,4633.31,6.99968,8.7,71.2463,113.936,6.563
Hungary,2010,9986825,9844246.0,-0.014276709564851692,HUN,Europe & Central Asia,High income: OECD,9.0,13.0,3876.49,131000000000.0,13092.2,65.0,5.1,74.2073,110.461,11.172
Hungary,2015,9844246,,,HUN,Europe & Central Asia,High income: OECD,9.4,13.4,,123000000000.0,12503.7,72.8347,4.3,75.5683,108.727,6.813
Iceland,1970,204468,228263.0,0.116375178512041,ISL,Europe & Central Asia,High income: OECD,19.7,7.1,6471.4,527497000.0,2580.23,,12.8,73.9339,2.03928,
Iceland,1980,228263,255019.0,0.11721566789186158,ISL,Europe & Central Asia,High income: OECD,19.8,6.8,12680.9,3386500000.0,14844.1,,7.8,76.8466,2.27569,
Iceland,1990,255019,281462.0,0.10369031327077591,ISL,Europe & Central Asia,High income: OECD,18.7,6.7,16148.3,6478460000.0,25423.1,0.0,5.1,78.0363,2.54191,
Iceland,2000,281462,318333.0,0.13099814539795782,ISL,Europe & Central Asia,High income: OECD,15.3,6.5,26201.5,9003640000.0,32018.1,44.4705,3.2,79.6537,2.80504,1.936
Iceland,2010,318333,331060.0,0.039980146576069714,ISL,Europe & Central Asia,High income: OECD,15.4,6.4,51439.9,13683700000.0,43024.9,93.39,2.0,81.8976,3.17248,7.564
Iceland,2015,331060,,,ISL,Europe & Central Asia,High income: OECD,12.5,6.6,,17344200000.0,52428.6,98.2,1.7,82.4683,3.2999,3.979
India,1970,557501301,696828385.0,0.24991346881179743,IND,South Asia,Lower middle income,39.108,17.187,,62422500000.0,112.434,,142.9,47.737,186.732,
India,1980,696828385,870452165.0,0.24916289826511587,IND,South Asia,Lower middle income,36.167,13.29,141.708,186000000000.0,266.578,,114.7,53.814,235.085,
India,1990,870452165,1059633675.0,0.21733705493167452,IND,South Asia,Lower middle income,31.517,10.864,272.063,321000000000.0,367.557,0.0,88.6,57.865,293.717,
India,2000,1059633675,1240613620.0,0.17079482208792582,IND,South Asia,Lower middle income,26.401,8.692,393.646,468000000000.0,443.314,0.527532,66.6,62.505,355.368,2.731
India,2010,1240613620,1322866505.0,0.06630016281781591,IND,South Asia,Lower middle income,21.114,7.492,640.395,1680000000000.0,1357.56,7.5,45.1,66.693,415.137,2.444
India,2015,1322866505,,,IND,South Asia,Lower middle income,18.625,7.194,,2100000000000.0,1605.61,17.0,35.0,68.607,440.655,2.782
Indonesia,1970,115228394,148177096.0,0.28594256030332244,IDN,East Asia & Pacific,Lower middle income,39.973,14.308,,9150680000.0,79.7145,,113.3,52.553,63.3667,
Indonesia,1980,148177096,182159874.0,0.22933893912997189,IDN,East Asia & Pacific,Lower middle income,33.425,10.592,46.1723,72482300000.0,491.58,,85.2,57.995,81.3923,
Indonesia,1990,182159874,214072421.0,0.1751897731330227,IDN,East Asia & Pacific,Lower middle income,25.813,8.339,162.524,106000000000.0,585.077,0.0,61.9,62.32,100.142,
Indonesia,2000,214072421,244016173.0,0.13987673825578867,IDN,East Asia & Pacific,Lower middle income,21.773,7.475,390.424,165000000000.0,780.19,0.925564,41.1,65.772,116.757,6.077
Indonesia,2010,244016173,259091970.0,0.061781958198319914,IDN,East Asia & Pacific,Lower middle income,20.795,6.653,635.985,755000000000.0,3122.36,10.92,28.1,69.205,133.494,5.614
Indonesia,2015,259091970,,,IDN,East Asia & Pacific,Lower middle income,19.165,6.419,,861000000000.0,3331.7,21.9761,23.5,70.768,142.629,4.514
Iraq,1970,9811347,13653369.0,0.39158965634382314,IRQ,Middle East & North Africa,Upper middle income,45.644,11.724,,3281710000.0,330.885,,80.5,58.201,22.6764,
Iraq,1980,13653369,17658381.0,0.2933350735631623,IRQ,Middle East & North Africa,Upper middle income,39.971,9.86,792.04,53405700000.0,3911.54,,54.4,59.882,31.2169,
Iraq,1990,17658381,24628858.0,0.3947404351508782,IRQ,Middle East & North Africa,Upper middle income,37.755,7.063,1308.91,180000000000.0,10326.9,0.0,42.1,66.011,39.8269,
Iraq,2000,24628858,31264875.0,0.2694407105680661,IRQ,Middle East & North Africa,Upper middle income,35.821,5.627,1240.98,,,,35.5,69.082,53.7247,9.33
Iraq,2010,31264875,37757813.0,0.20767516262259164,IRQ,Middle East & North Africa,Upper middle income,33.349,5.514,1237.04,139000000000.0,4657.28,2.5,28.6,68.567,68.4794,8.583
Iraq,2015,37757813,,,IRQ,Middle East & North Africa,Upper middle income,31.109,4.965,,177000000000.0,4989.8,58.0,24.6,69.929,81.9396,8.079
Ireland,1970,2937637,3391387.0,0.15446088131379065,IRL,Europe & Central Asia,High income: OECD,21.8,11.4,1750.95,4401260000.0,1488.29,,19.0,71.0314,42.9271,
Ireland,1980,3391387,3485374.0,0.027713439958341527,IRL,Europe & Central Asia,High income: OECD,21.7,9.8,2868.32,21773900000.0,6380.07,,12.0,72.6232,49.5398,
Ireland,1990,3485374,3768950.0,0.0813617132623357,IRL,Europe & Central Asia,High income: OECD,15.1,8.9,3767.53,49364700000.0,14048.1,0.0,7.6,74.8091,51.0085,
Ireland,2000,3768950,4524585.0,0.20048952626062963,IRL,Europe & Central Asia,High income: OECD,14.4,8.2,5796.06,99853000000.0,26241.4,17.8505,6.0,76.5366,55.2355,4.318
Ireland,2010,4524585,4665760.0,0.03120175662519325,IRL,Europe & Central Asia,High income: OECD,16.5,6.1,5927.87,222000000000.0,48715.2,69.85,3.5,80.7439,66.1947,14.533
Ireland,2015,4665760,,,IRL,Europe & Central Asia,High income: OECD,13.9,6.4,,292000000000.0,61995.4,83.4948,3.3,81.4537,68.2531,9.904
Israel,1970,2907307,3744608.0,0.28799882502948604,ISR,Middle East & North Africa,High income: OECD,26.1,7.1,,7038330000.0,2366.62,,,71.2134,137.431,
Israel,1980,3744608,4803254.0,0.2827121023081722,ISR,Middle East & North Africa,High income: OECD,24.3,6.7,3022.18,24129300000.0,6222.11,,15.3,73.8756,179.205,
Israel,1990,4803254,6116958.0,0.2735029211447073,ISR,Middle East & North Africa,High income: OECD,22.2,6.8,4176.18,58925400000.0,12644.9,0.110774,9.7,76.6073,215.342,
Israel,2000,6116958,7328445.0,0.19805383656386066,ISR,Middle East & North Africa,High income: OECD,21.7,6.0,6323.1,132000000000.0,21027.8,20.8738,5.6,78.9537,290.619,11.102
Israel,2010,7328445,8007778.0,0.09269810989916688,ISR,Middle East & North Africa,High income: OECD,21.8,5.2,6953.28,234000000000.0,30659.1,67.5,3.7,81.6024,352.292,8.48
Israel,2015,8007778,,,ISR,Middle East & North Africa,High income: OECD,21.3,5.3,,300000000000.0,35855.3,77.3521,3.1,82.0512,387.25,5.251
Italy,1970,53324036,56329482.0,0.05636193779480608,ITA,Europe & Central Asia,High income: OECD,16.7,9.7,2072.91,113000000000.0,2099.91,,29.7,71.5588,182.999,
Italy,1980,56329482,56756561.0,0.00758180236771927,ITA,Europe & Central Asia,High income: OECD,11.3,9.8,3104.85,476000000000.0,8429.02,,14.2,73.9432,191.88,
Italy,1990,56756561,56966397.0,0.003697123227744542,ITA,Europe & Central Asia,High income: OECD,10.0,9.6,4144.91,1180000000000.0,20757.1,0.0175446,8.4,76.9707,192.85,
Italy,2000,56966397,59822450.0,0.05013574932604567,ITA,Europe & Central Asia,High income: OECD,9.5,9.8,5299.86,1140000000000.0,20051.2,23.1109,4.7,79.778,193.608,10.842
Italy,2010,59822450,60232906.0,0.006861236876791238,ITA,Europe & Central Asia,High income: OECD,9.5,9.9,5493.71,2130000000000.0,35849.4,53.68,3.4,82.0366,201.528,8.363
Italy,2015,60232906,,,ITA,Europe & Central Asia,High income: OECD,8.0,10.7,,1830000000000.0,30170.5,58.1417,2.9,82.5439,206.468,11.896
Jamaica,1970,1859091,2135546.0,0.1487043937063866,JAM,Latin America & Caribbean,Upper middle income,35.173,7.878,,1404780000.0,748.957,,44.3,67.917,173.189,
Jamaica,1980,2135546,2392030.0,0.12010230638909207,JAM,Latin America & Caribbean,Upper middle income,28.74,6.813,661.166,2679410000.0,1238.84,,33.1,70.793,199.709,
Jamaica,1990,2392030,2612205.0,0.0920452502686003,JAM,Latin America & Caribbean,Upper middle income,25.33,6.6,867.802,4592220000.0,1897.69,0.0,25.3,73.204,223.445,
Jamaica,2000,2612205,2733896.0,0.04658554745894752,JAM,Latin America & Caribbean,Upper middle income,21.372,6.52,2276.34,8985350000.0,3384.69,3.11578,19.0,74.142,245.125,15.539
Jamaica,2010,2733896,2794445.0,0.02214751402394239,JAM,Latin America & Caribbean,Upper middle income,17.742,7.31,1216.17,13200300000.0,4696.84,27.67,15.7,74.038,259.507,12.366
Jamaica,2015,2794445,,,JAM,Latin America & Caribbean,Upper middle income,16.633,7.523,,14145500000.0,4892.9,42.2212,13.7,74.098,266.946,13.511
Japan,1970,105416839,117624196.0,0.1158008257105869,JPN,East Asia & Pacific,High income: OECD,18.7,6.9,3222.0,213000000000.0,2037.56,,13.4,71.9502,284.551,
Japan,1980,117624196,123686321.0,0.051538078100869654,JPN,East Asia & Pacific,High income: OECD,13.5,6.1,4717.69,1110000000000.0,9465.38,,7.4,76.0917,318.815,
Japan,1990,123686321,126803861.0,0.025205212466461832,JPN,East Asia & Pacific,High income: OECD,10.0,6.7,6805.54,3130000000000.0,25359.3,0.0202937,4.6,78.8368,338.829,
Japan,2000,126803861,128105431.0,0.010264435086877993,JPN,East Asia & Pacific,High income: OECD,9.4,7.7,8299.41,4890000000000.0,38532.0,29.9907,3.3,81.0761,347.992,4.7
Japan,2010,128105431,127250933.0,-0.006670271457890025,JPN,East Asia & Pacific,High income: OECD,8.5,9.5,8594.91,5700000000000.0,44507.7,78.21,2.4,82.8427,351.31,5.1
Japan,2015,127250933,,,JPN,East Asia & Pacific,High income: OECD,8.0,10.3,,4390000000000.0,34524.5,91.058,2.1,83.7939,348.752,3.4
Jordan,1970,1557374,2216903.0,0.4234878712499374,JOR,Middle East & North Africa,Upper middle income,50.789,10.385,,639597000.0,371.573,,65.3,60.171,19.5073,
Jordan,1980,2216903,3480587.0,0.5700222337197433,JOR,Middle East & North Africa,Upper middle income,41.094,6.832,365.854,3910040000.0,1644.26,,43.1,66.207,26.9492,
Jordan,1990,3480587,5056174.0,0.45267852807586767,JOR,Middle East & North Africa,Upper middle income,35.287,5.07,933.848,4160000000.0,1166.61,0.0,29.6,69.872,40.4113,
Jordan,2000,5056174,6931258.0,0.3708503702602007,JOR,Middle East & North Africa,Upper middle income,31.709,4.129,1289.61,8460420000.0,1651.62,2.62328,22.7,71.73,58.0518,13.7
Jordan,2010,6931258,9494246.0,0.3697724136080348,JOR,Middle East & North Africa,Upper middle income,28.564,3.832,1845.34,26551500000.0,3656.45,27.2,17.4,73.428,81.7925,12.5
Jordan,2015,9494246,,,JOR,Middle East & North Africa,Upper middle income,24.274,3.813,,37969000000.0,4097.41,60.1144,15.2,74.078,104.377,13.075
Kazakhstan,1970,12265305,14172710.0,0.1555122355294059,KAZ,Europe & Central Asia,Upper middle income,25.6,9.359,,,,,,62.2794,4.82874,
Kazakhstan,1980,14172710,16866563.0,0.19007324640100587,KAZ,Europe & Central Asia,Upper middle income,23.9,8.0,,,,,57.6,66.6244,5.48067,
Kazakhstan,1990,16866563,15236253.0,-0.09665928974385593,KAZ,Europe & Central Asia,Upper middle income,22.18,7.87,5905.0,26932700000.0,1647.46,0.0,44.4,68.3366,6.05549,
Kazakhstan,2000,15236253,16627837.0,0.0913337419639855,KAZ,Europe & Central Asia,Upper middle income,14.92,10.06,3169.52,18292000000.0,1229.0,0.668594,36.9,65.5171,5.51307,12.75
Kazakhstan,2010,16627837,17835909.0,0.07265358687362644,KAZ,Europe & Central Asia,Upper middle income,22.53,8.95,4728.01,148000000000.0,9070.49,31.6,18.1,68.2954,6.04581,5.77
Kazakhstan,2015,17835909,,,KAZ,Europe & Central Asia,Upper middle income,22.71,7.46,,184000000000.0,10510.8,70.8299,10.6,72.0,6.49806,4.93
Kenya,1970,11473087,16187124.0,0.410877822158936,KEN,Sub-Saharan Africa,Lower middle income,50.887,15.191,,1603450000.0,141.88,,93.1,52.557,19.857,
Kenya,1980,16187124,23162269.0,0.43090699743821076,KEN,Sub-Saharan Africa,Lower middle income,49.564,11.24,103.976,7265320000.0,442.543,,70.4,57.881,28.8456,
Kenya,1990,23162269,30851606.0,0.331976845619054,KEN,Sub-Saharan Africa,Lower middle income,42.56,10.187,123.501,8572360000.0,361.328,0.0,67.7,57.406,41.685,
Kenya,2000,30851606,41517895.0,0.3457288090610259,KEN,Sub-Saharan Africa,Lower middle income,40.037,12.621,104.397,12705400000.0,397.483,0.31806,63.7,50.921,56.1629,9.904
Kenya,2010,41517895,46851488.0,0.1284649185610205,KEN,Sub-Saharan Africa,Lower middle income,35.128,7.467,147.844,40000100000.0,951.688,7.2,38.6,60.959,73.8495,9.731
Kenya,2015,46851488,,,KEN,Sub-Saharan Africa,Lower middle income,30.688,5.928,,64007800000.0,1336.88,16.5879,33.3,64.798,84.124,9.675
Kiribati,1970,57437,60813.0,0.05877744311158312,KIR,East Asia & Pacific,Lower middle income,34.622,14.091,,14295300.0,279.472,,96.5,52.323,63.1494,
Kiribati,1980,60813,75124.0,0.2353279726374295,KIR,East Asia & Pacific,Lower middle income,36.242,12.216,,38715600.0,652.865,,85.2,55.971,73.2111,
Kiribati,1990,75124,88826.0,0.1823917789255098,KIR,East Asia & Pacific,Lower middle income,36.719,10.087,,39809500.0,549.856,0.0,69.1,59.636,89.3827,
